index,from_date,to_date,start_time,end_time,ut_end_time,sl,ut_sl,options_multiplier,day,slipage,run,re_entry
BANKNIFTY,06-07-2022,02-08-2024,10:47:00,13:00:00,,55,50,0.0,2,1.25,True,
BANKNIFTY,06-07-2022,02-08-2024,10:50:00,13:00:00,,55,50,0.0,2,1.25,True,
BANKNIFTY,06-07-2022,02-08-2024,10:53:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:20:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:23:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:26:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:29:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:32:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:35:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:38:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:41:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:44:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:47:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:50:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:53:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:56:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:59:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:02:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:05:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:08:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:11:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:14:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:17:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:20:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:23:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:26:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:29:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:32:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:35:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:38:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:41:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:44:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:47:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:50:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:53:00,13:00:00,,55,50,0.0,1,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:20:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:23:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:26:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:29:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:32:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:35:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:38:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:41:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:44:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:47:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:50:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:53:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:56:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,09:59:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:02:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:05:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:08:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:11:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:14:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:17:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:20:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:23:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:26:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:29:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:32:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:35:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:38:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:41:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:44:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:47:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:50:00,13:00:00,,55,50,0.0,2,1.25,True,
FINNIFTY,06-07-2022,02-08-2024,10:53:00,13:00:00,,55,50,0.0,2,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:20:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:23:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:26:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:29:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:32:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:35:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:38:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:41:00,13:00:00,,55,50,0.0,1,1.25,True,
MIDCPNIFTY,03-07-2023,02-08-2024,09:44:00,13:00:00,,55,50,0.0,1,1.25,True,
