Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-02,Tuesday,21719.95,FALSE,13:05:00,15:25:00,80.0,21650CE,83.55,137.0,76.8,82.05,116.96999999999998,True,2024-01-02 14:12:00,-34.26,21650PE,105.55,106.9,55.6,83.95,147.76999999999998,False,,20.54,21650PE,68.65,95.4,55.6,83.95,102.97500000000001,False,,0.0,-34.26,35.84449999999999,-15.3,-13.71550000000001
2024-01-09,Tuesday,21792.2,FALSE,13:05:00,15:25:00,70.0,21750CE,72.6,74.8,15.95,20.2,101.63999999999999,False,,51.67,21750PE,94.35,236.0,91.75,206.55,132.08999999999997,True,2024-01-09 14:12:00,-38.68,21750CE,43.35,44.0,15.95,20.2,65.025,False,,0.0,-38.68,28.523999999999994,23.15,12.993999999999993
2024-01-16,Tuesday,22048.0,FALSE,13:05:00,15:25:00,90.0,22050CE,91.3,96.85,59.6,77.5,127.82,False,,12.89,22050PE,97.7,147.4,85.15,98.5,136.78,True,2024-01-16 13:35:00,-40.06,22050CE,63.45,96.85,59.6,77.5,95.17500000000001,True,2024-01-16 14:13:00,0.0,-40.06,26.936999999999994,-31.73,-44.85300000000001
2024-01-23,Tuesday,21372.2,FALSE,13:05:00,15:25:00,140.0,21350CE,137.0,139.0,44.5,58.65,191.79999999999998,False,,76.98,21350PE,115.6,245.0,112.6,195.1,161.83999999999997,True,2024-01-23 14:21:00,-47.4,21350CE,84.2,86.9,44.5,58.65,126.30000000000001,False,,0.0,-47.4,51.43,25.55,29.580000000000002
2024-01-30,Tuesday,21801.3,FALSE,13:05:00,15:25:00,170.0,21700CE,168.15,173.3,75.5,82.35,235.41,False,,84.12,21700PE,149.85,260.0,139.85,225.45,209.79,True,2024-01-30 14:30:00,-61.44,21700CE,125.5,125.95,75.5,82.35,188.25,False,,0.0,-61.44,40.968500000000006,43.15,22.678500000000007
2024-02-06,Tuesday,21958.25,FALSE,13:05:00,15:25:00,120.0,21900CE,123.0,157.7,114.7,146.1,172.2,False,,-24.33,21900PE,126.35,134.2,96.9,98.0,176.89,False,,27.09,,,,,,,False,,2.7600000000000016,0.0,0.0,0.0,2.7600000000000016
2024-02-13,Tuesday,21768.0,FALSE,13:05:00,15:25:00,120.0,21700CE,116.0,159.7,103.0,136.05,162.39999999999998,False,,-21.21,21700PE,109.45,124.65,77.9,91.35,153.23,False,,17.01,,,,,,,False,,-4.199999999999999,0.0,0.0,0.0,-4.199999999999999
2024-02-20,Tuesday,22185.0,FALSE,13:05:00,15:25:00,120.0,22150CE,118.5,144.9,76.75,138.25,165.89999999999998,False,,-20.94,22150PE,116.65,158.55,86.0,88.95,163.31,False,,26.53,,,,,,,False,,5.59,0.0,0.0,0.0,5.59
2024-02-27,Tuesday,22200.4,FALSE,13:05:00,15:25:00,120.0,22200CE,117.45,129.0,81.5,100.1,164.43,False,,16.18,22200PE,115.1,145.95,93.9,111.2,161.14,False,,2.75,,,,,,,False,,18.93,0.0,0.0,0.0,18.93
2024-03-05,Tuesday,22479.8,FALSE,13:05:00,15:25:00,90.0,22400CE,93.6,101.6,63.5,69.6,131.04,False,,23.06,22400PE,108.0,133.45,97.95,115.8,151.2,False,,-8.88,,,,,,,False,,14.179999999999998,0.0,0.0,0.0,14.179999999999998
2024-03-12,Tuesday,22440.0,FALSE,13:05:00,15:25:00,120.0,22350CE,118.2,153.3,105.75,113.8,165.48,False,,3.22,22350PE,95.1,106.35,65.15,85.85,133.14,False,,8.3,,,,,,,False,,11.520000000000001,0.0,0.0,0.0,11.520000000000001
2024-03-19,Tuesday,21936.6,FALSE,13:05:00,15:25:00,100.0,21900CE,100.3,106.5,65.55,70.0,140.42,False,,29.3,21900PE,122.45,166.2,109.1,145.8,171.43,False,,-24.57,,,,,,,False,,4.73,0.0,0.0,0.0,4.73
