Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-01-03,Wednesday,FALSE,10:38:00,15:25:00,21685.9,"('21700CE', '21500PE')",32.45,36.15,68.6,,42.0,,,,,,11.563999999999993,0.0,11.563999999999993
2024-01-10,Wednesday,FALSE,10:38:00,15:25:00,21604.0,"('21700CE', '21350PE')",23.65,21.7,45.349999999999994,2024-01-10 15:04:00,42.0,21700PE,62.75,100.95,63.0,69.0,-9.523499999999999,-19.4525,-28.976
2024-01-17,Wednesday,FALSE,10:38:00,15:25:00,21757.9,"('21900CE', '21600PE')",27.8,31.6,59.400000000000006,2024-01-17 11:40:00,42.0,21800CE,50.55,49.95,11.6,13.75,-12.474000000000002,36.2945,23.820499999999996
2024-01-24,Wednesday,FALSE,10:38:00,15:25:00,21418.95,"('21650CE', '21150PE')",27.35,29.05,56.400000000000006,2024-01-24 11:31:00,42.0,21400CE,48.2,142.9,34.7,128.0,-11.844000000000001,-14.942,-26.786
2024-01-31,Wednesday,FALSE,10:38:00,15:25:00,21762.5,"('22050CE', '21300PE')",23.1,23.25,46.35,2024-01-31 11:40:00,42.0,21500PE,46.9,60.7,37.1,47.7,-9.733500000000001,-1.2690000000000041,-11.002500000000005
2024-02-07,Wednesday,FALSE,10:38:00,15:25:00,22031.0,"('22200CE', '21700PE')",22.5,22.6,45.1,2024-02-07 11:57:00,44.0,21950CE,51.6,104.4,49.05,80.4,-9.471000000000002,-15.996,-25.467000000000002
2024-02-14,Wednesday,FALSE,10:38:00,15:25:00,21678.0,"('21800CE', '21400PE')",21.15,25.2,46.349999999999994,2024-02-14 13:04:00,42.0,21600PE,44.65,67.2,12.0,12.9,-9.7335,-13.8415,-23.575
2024-02-21,Wednesday,FALSE,10:38:00,15:25:00,22226.35,"('22350CE', '22000PE')",30.3,34.45,64.75,2024-02-21 14:25:00,44.0,22100CE,57.35,64.45,32.25,37.7,-13.5975,19.0765,5.478999999999999
2024-02-28,Wednesday,FALSE,10:38:00,15:25:00,22189.85,"('22350CE', '22000PE')",25.35,28.0,53.35,2024-02-28 10:51:00,44.0,22200CE,56.7,57.65,13.25,13.6,-11.203500000000002,42.533,31.3295
2024-03-06,Wednesday,FALSE,10:38:00,15:25:00,22380.0,"('22450CE', '22100PE')",28.3,29.55,57.85,2024-03-06 13:52:00,44.0,22350PE,51.15,54.25,19.95,21.2,-12.1485,29.438499999999998,17.29
2024-03-13,Wednesday,FALSE,10:38:00,15:25:00,22405.35,"('22500CE', '22150PE')",31.4,27.5,58.9,2024-03-13 11:22:00,44.0,22350CE,51.4,51.2,5.75,5.75,-12.369000000000002,45.135999999999996,32.766999999999996
2024-03-20,Wednesday,FALSE,10:38:00,15:25:00,21850.0,"('22000CE', '21550PE')",22.65,21.75,44.4,2024-03-20 11:45:00,42.0,21800PE,57.85,68.95,30.05,51.05,-9.324000000000002,6.221500000000004,-3.1024999999999974
2024-03-27,Wednesday,FALSE,10:38:00,15:25:00,22195.0,"('22300CE', '22050PE')",31.75,31.35,63.1,,44.0,,,,,,31.819000000000003,0.0,31.819000000000003
2024-04-03,Wednesday,FALSE,10:38:00,15:25:00,22538.55,"('22550CE', '22300PE')",27.5,28.15,55.65,2024-04-03 12:46:00,44.0,22500PE,60.9,113.85,55.3,101.7,-11.6865,-18.878999999999998,-30.5655
2024-04-09,Tuesday,FALSE,10:38:00,15:25:00,22845.0,"('22850CE', '22700PE')",36.15,40.5,76.65,2024-04-09 12:39:00,44.0,22700CE,64.85,79.7,34.75,43.0,-16.096500000000002,21.201499999999996,5.104999999999993
2024-04-16,Tuesday,FALSE,10:38:00,15:25:00,22235.45,"('22350CE', '22000PE')",27.05,28.05,55.1,2024-04-16 13:17:00,44.0,22150CE,52.15,97.7,51.3,93.45,-11.571000000000002,-16.1665,-27.7375
2024-04-24,Wednesday,FALSE,10:38:00,15:25:00,22475.0,"('22600CE', '22350PE')",22.5,28.95,51.45,,44.0,,,,,,13.535500000000004,0.0,13.535500000000004
2024-04-30,Tuesday,FALSE,10:38:00,15:25:00,22826.05,"('22900CE', '22550PE')",26.5,29.0,55.5,,44.0,,,,,,3.3449999999999984,0.0,3.3449999999999984
2024-05-08,Wednesday,FALSE,10:38:00,15:25:00,22317.65,"('22400CE', '22050PE')",30.6,31.3,61.900000000000006,2024-05-08 11:47:00,44.0,22250PE,55.65,77.65,29.65,44.2,-12.999000000000002,-17.2515,-30.250500000000002
2024-05-15,Wednesday,FALSE,10:38:00,15:25:00,22223.4,"('22350CE', '21900PE')",22.05,21.95,44.0,,44.0,,,,,,17.36,0.0,17.36
2024-05-22,Wednesday,FALSE,10:38:00,15:25:00,22614.85,"('22700CE', '22350PE')",29.2,30.6,59.8,,44.0,,,,,,12.951999999999996,0.0,12.951999999999996
2024-05-29,Wednesday,FALSE,10:38:00,15:25:00,22775.0,"('23000CE', '22500PE')",25.25,24.0,49.25,,44.0,,,,,,20.6075,0.0,20.6075
2024-06-05,Wednesday,FALSE,10:38:00,15:25:00,22094.2,"('22600CE', '21200PE')",22.85,21.65,44.5,2024-06-05 10:57:00,44.0,21700PE,48.8,55.6,8.05,9.2,-9.345,39.111999999999995,29.766999999999996
2024-06-12,Wednesday,FALSE,10:38:00,15:25:00,23430.0,"('23600CE', '23150PE')",27.45,24.7,52.15,,46.0,,,,,,13.578500000000002,0.0,13.578500000000002
2024-06-19,Wednesday,FALSE,10:38:00,15:25:00,23454.35,"('23600CE', '23250PE')",31.2,27.3,58.5,2024-06-19 11:47:00,46.0,23500PE,61.35,89.7,28.75,71.05,-12.285,-19.0185,-31.3035
2024-06-26,Wednesday,FALSE,10:38:00,15:25:00,23715.0,"('23850CE', '23550PE')",34.35,33.8,68.15,2024-06-26 10:57:00,46.0,23700PE,58.75,59.65,19.35,21.95,-14.311500000000002,36.2125,21.900999999999996
2024-07-03,Wednesday,FALSE,10:38:00,15:25:00,24335.0,"('24450CE', '24100PE')",24.7,29.85,54.55,,48.0,,,,,,15.404500000000002,0.0,15.404500000000002
