Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-01-03,Wednesday,FALSE,09:56:00,15:25:00,71589.34,"('72500CE', '70700PE')",78.1,83.7,161.8,,140.0,,,,,,68.02750000000002,0.0,68.02750000000002
2024-01-10,Wednesday,FALSE,09:56:00,15:25:00,71391.34,"('72200CE', '70400PE')",82.75,80.25,163.0,,140.0,,,,,,36.512499999999996,0.0,36.512499999999996
2024-01-17,Wednesday,FALSE,09:56:00,15:25:00,72311.16,"('73300CE', '71200PE')",79.8,75.5,155.3,2024-01-17 11:36:00,140.0,72700CE,156.85,161.15,67.05,73.3,-33.00125,81.589375,48.588125000000005
2024-01-23,Tuesday,FALSE,09:56:00,15:25:00,71865.98,"('72900CE', '70900PE')",73.2,72.85,146.05,2024-01-23 10:02:00,140.0,72400CE,143.5,153.0,30.6,34.45,-31.035625000000003,107.25625,76.22062499999998
2024-01-31,Wednesday,FALSE,09:56:00,15:25:00,71244.24,"('73600CE', '69100PE')",74.25,77.15,151.4,2024-01-31 15:19:00,140.0,70300PE,151.9,156.55,148.45,150.0,-32.1725,0.0012500000000055245,-32.17124999999999
2024-02-07,Wednesday,FALSE,09:56:00,15:25:00,72380.49,"('73700CE', '70800PE')",79.85,77.35,157.2,,140.0,,,,,,60.035,0.0,60.035
2024-02-14,Wednesday,FALSE,09:56:00,15:25:00,71028.29,"('72300CE', '69600PE')",72.1,70.4,142.5,2024-02-14 14:24:00,140.0,70900PE,157.65,176.2,89.7,89.9,-30.28125,65.779375,35.498125
2024-02-21,Wednesday,FALSE,09:56:00,15:25:00,73175.88,"('74200CE', '71700PE')",73.5,73.0,146.5,,140.0,,,,,,15.268749999999994,0.0,15.268749999999994
2024-02-28,Wednesday,FALSE,09:56:00,15:25:00,73058.96,"('74200CE', '71800PE')",82.15,82.95,165.10000000000002,2024-02-28 11:00:00,140.0,73500CE,141.4,162.2,73.65,78.7,-35.08375,60.932500000000005,25.848750000000003
2024-03-05,Tuesday,FALSE,09:56:00,15:25:00,73673.39,"('74600CE', '72500PE')",77.8,81.85,159.64999999999998,,140.0,,,,,,57.754374999999975,0.0,57.754374999999975
