Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-05,Friday,21793.6,FALSE,09:28:00,13:00:00,84.0,21800CE,86.15,96.0,62.45,70.55,111.995,False,,14.74,21650PE,83.2,110.65,71.65,91.5,108.16000000000001,True,2024-01-05 10:54:00,-25.79,21800CE,67.6,84.6,62.45,70.55,101.39999999999999,False,,0.0,-25.79,17.688500000000012,-2.95,-11.051499999999987
2024-01-12,Friday,21772.0,FALSE,09:28:00,13:00:00,84.0,21800CE,105.85,197.75,96.55,186.85,137.605,True,2024-01-12 10:06:00,-32.81,21700PE,104.2,108.7,68.6,71.0,135.46,False,,32.16,21700PE,85.15,85.85,68.6,71.0,127.72500000000001,False,,0.0,-32.81,18.007999999999996,14.15,-0.6520000000000064
2024-01-19,Friday,21679.6,FALSE,09:28:00,13:00:00,84.0,21850CE,86.1,89.3,56.1,65.6,111.92999999999999,False,,19.64,21500PE,84.55,124.15,71.25,92.65,109.915,True,2024-01-19 11:07:00,-26.21,21850CE,60.25,69.5,56.1,65.6,90.375,False,,0.0,-26.21,24.988999999999994,-5.35,-6.571000000000007
2024-02-02,Friday,22022.15,FALSE,09:28:00,13:00:00,88.0,22100CE,102.75,202.5,72.1,90.1,133.57500000000002,True,2024-02-02 11:15:00,-31.85,21850PE,107.5,140.6,66.3,120.7,139.75,True,2024-02-02 12:36:00,-33.33,21850PE,81.3,140.6,66.3,120.7,121.94999999999999,True,2024-02-02 12:35:00,0.0,-31.85,25.125000000000004,-40.65,-47.375
2024-02-09,Friday,21840.75,FALSE,09:28:00,13:00:00,84.0,22000CE,91.25,90.75,50.05,70.15,118.625,False,,20.19,21600PE,97.9,171.55,93.9,98.5,127.27000000000001,True,2024-02-09 09:53:00,-30.35,22000CE,65.95,78.9,50.05,70.15,98.92500000000001,False,,0.0,-30.35,24.387499999999996,-4.2,-10.162500000000005
2024-02-16,Friday,22059.0,FALSE,09:28:00,13:00:00,88.0,22150CE,100.65,134.0,93.45,128.55,130.845,True,2024-02-16 10:14:00,-31.2,21900PE,106.4,116.1,87.3,88.0,138.32000000000002,False,,17.34,21900PE,94.65,103.1,87.3,88.0,141.97500000000002,False,,0.0,-31.2,10.686,6.65,-13.863999999999999
2024-02-23,Friday,22260.65,FALSE,09:28:00,13:00:00,88.0,22400CE,100.65,118.2,87.55,100.85,130.845,False,,-1.21,22100PE,99.35,108.4,72.45,81.15,129.155,False,,17.21,,,,,,,False,,16.0,0.0,0.0,0.0,16.0
2024-03-01,Friday,22251.35,FALSE,09:28:00,13:00:00,88.0,22300CE,100.6,200.0,95.15,186.65,130.78,True,2024-03-01 10:28:00,-31.19,22000PE,99.4,102.45,61.4,65.55,129.22,False,,32.86,22000PE,84.95,88.25,61.4,65.55,127.42500000000001,False,,0.0,-31.19,13.456000000000003,19.4,1.6660000000000004
2024-03-15,Friday,22178.65,FALSE,09:28:00,13:00:00,88.0,22250CE,101.5,106.0,47.1,59.5,131.95000000000002,False,,40.98,22000PE,99.6,184.65,94.35,146.9,129.48,True,2024-03-15 09:36:00,-30.88,22250CE,83.6,83.65,47.1,59.5,125.39999999999999,False,,0.0,-30.88,16.885000000000005,24.1,10.105000000000008
2024-04-19,Friday,21865.0,FALSE,09:28:00,13:00:00,84.0,22050CE,94.8,171.7,82.45,166.6,123.24,True,2024-04-19 12:22:00,-29.39,21600PE,93.7,95.1,53.6,57.3,121.81,False,,35.46,21600PE,66.15,67.15,53.6,57.3,99.22500000000001,False,,0.0,-29.39,26.612999999999996,8.85,6.072999999999995
2024-05-03,Friday,22879.45,FALSE,09:28:00,13:00:00,88.0,22900CE,92.45,97.35,25.0,26.75,120.185,False,,64.78,22700PE,90.15,315.0,87.45,313.0,117.19500000000001,True,2024-05-03 10:07:00,-27.95,22900CE,75.5,75.75,25.0,26.75,113.25,False,,0.0,-27.95,16.0255,48.75,36.825500000000005
2024-05-10,Friday,22133.95,FALSE,09:28:00,13:00:00,88.0,22250CE,89.7,120.9,61.2,62.1,116.61000000000001,True,2024-05-10 09:55:00,-27.81,21850PE,88.25,98.15,53.8,97.35,114.72500000000001,False,,-9.98,21850PE,65.8,98.15,53.8,97.35,98.69999999999999,False,,0.0,-27.81,21.567500000000003,-31.55,-37.7925
2024-05-24,Friday,23027.05,FALSE,09:28:00,13:00:00,92.0,23200CE,97.2,105.8,68.45,93.15,126.36000000000001,False,,3.08,22800PE,91.9,109.7,68.25,70.45,119.47000000000001,False,,20.53,,,,,,,False,,23.61,0.0,0.0,0.0,23.61
2024-05-31,Friday,22745.0,FALSE,09:28:00,13:00:00,88.0,23500CE,89.9,107.7,70.45,78.8,116.87,False,,10.2,21500PE,92.4,97.95,67.2,90.65,120.12,False,,0.83,,,,,,,False,,11.03,0.0,0.0,0.0,11.03
2024-06-07,Friday,22948.3,FALSE,09:28:00,13:00:00,88.0,23250CE,98.8,234.75,86.25,203.15,128.44,True,2024-06-07 10:40:00,-30.63,22550PE,103.05,105.8,51.1,55.35,133.965,False,,46.67,22550PE,67.65,73.9,51.1,55.35,101.47500000000001,False,,0.0,-30.63,34.36949999999999,12.3,16.03949999999999
2024-06-21,Friday,23600.75,FALSE,09:28:00,13:00:00,92.0,23650CE,112.75,124.65,61.0,65.0,146.57500000000002,False,,46.62,23550PE,114.35,189.65,99.05,176.0,148.655,True,2024-06-21 10:48:00,-35.45,23650CE,82.7,95.8,61.0,65.0,124.05000000000001,False,,0.0,-35.45,28.922499999999996,17.7,11.172499999999992
2024-06-28,Friday,24178.6,FALSE,09:28:00,13:00:00,96.0,24250CE,99.45,134.25,69.7,75.8,129.285,True,2024-06-28 09:41:00,-30.83,23950PE,102.15,122.2,75.2,112.7,132.79500000000002,False,,-11.57,23950PE,88.0,122.2,75.2,112.7,132.0,False,,0.0,-30.83,13.128500000000006,-24.7,-42.40149999999999
2024-07-05,Friday,24268.55,FALSE,09:28:00,13:00:00,96.0,24250CE,117.6,177.5,103.3,162.45,152.88,True,2024-07-05 11:35:00,-36.46,24150PE,108.65,116.45,62.6,67.8,141.245,False,,39.76,24150PE,68.05,72.7,62.6,67.8,102.07499999999999,False,,0.0,-36.46,39.51350000000001,0.25,3.3035000000000068
2024-07-19,Friday,24787.85,FALSE,09:28:00,13:00:00,96.0,25050CE,108.35,109.0,65.35,67.25,140.855,False,,40.02,24450PE,105.6,170.25,102.3,160.0,137.28,True,2024-07-19 10:48:00,-32.74,25050CE,83.05,84.4,65.35,67.25,124.57499999999999,False,,0.0,-32.74,24.216499999999996,15.8,7.276499999999995
2024-07-26,Friday,24519.35,FALSE,09:28:00,13:00:00,96.0,24550CE,110.8,286.65,102.5,283.6,144.04,True,2024-07-26 09:59:00,-34.35,24400PE,112.15,117.15,38.0,38.3,145.79500000000002,False,,72.73,24400PE,81.55,81.35,38.0,38.3,122.32499999999999,False,,0.0,-34.35,29.478500000000007,43.25,38.3785
2024-08-02,Friday,24877.55,FALSE,09:28:00,13:00:00,96.0,24950CE,99.75,99.95,62.8,70.35,129.675,False,,28.4,24700PE,101.55,172.0,93.85,119.6,132.01500000000001,True,2024-08-02 09:41:00,-31.48,24950CE,80.7,89.85,62.8,70.35,121.05000000000001,False,,0.0,-31.48,18.0525,10.35,-3.0775000000000023
2024-08-16,Friday,24414.6,FALSE,09:28:00,13:00:00,96.0,24500CE,102.0,119.7,49.6,113.0,132.6,False,,-12.02,24300PE,103.65,205.5,80.0,83.35,134.745,True,2024-08-16 09:51:00,-32.13,24500CE,68.55,119.7,49.6,113.0,102.82499999999999,True,2024-08-16 12:04:00,0.0,-32.13,32.43,-34.27,-33.970000000000006
