Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL0.CE,PL0.PE,Total PNL
2024-01-01,Monday,21824.6,FALSE,09:30:00,84.0,21750,105.35,231.5,88.0,90.35,21700,108.3,114.15,36.15,84.95,10.68,-11.59,22.27,10.68
2024-01-08,Monday,21779.15,FALSE,09:30:00,84.0,21750,87.25,93.75,26.4,26.7,21700,91.35,228.0,79.95,218.4,49.63,59.68,-10.05,49.63
2024-01-15,Monday,22089.7,FALSE,09:30:00,88.0,22100,108.7,129.85,71.25,120.75,22050,112.05,160.85,77.2,79.1,-24.29,-11.96,-12.33,-24.29
2024-01-20,Saturday,21697.45,FALSE,09:30:00,84.0,21800,94.15,99.0,49.1,61.4,21600,94.9,151.25,82.0,121.2,21.37,31.81,-10.44,21.37
2024-01-29,Monday,21700.15,FALSE,09:30:00,84.0,21850,93.6,152.0,82.6,143.55,21350,87.1,95.0,39.15,40.9,35.03,-10.3,45.33,35.03
2024-02-05,Monday,21951.75,FALSE,09:30:00,84.0,22050,87.65,125.0,35.75,40.65,21700,86.25,154.8,52.65,123.25,-19.13,-9.64,-9.49,-19.13
2024-02-12,Monday,21873.2,FALSE,09:30:00,84.0,21900,103.8,107.7,38.1,44.5,21700,96.9,216.55,92.8,171.55,47.6,58.26,-10.66,47.6
2024-02-19,Monday,22105.9,FALSE,09:30:00,88.0,22150,97.85,175.0,78.5,114.05,21950,103.4,126.0,51.7,71.8,-22.13,-10.76,-11.37,-22.13
2024-02-26,Monday,22191.75,FALSE,09:30:00,88.0,22300,91.85,108.65,58.6,64.95,22050,86.35,128.55,71.85,93.2,-19.6,-10.1,-9.5,-19.6
2024-03-04,Monday,22497.95,FALSE,09:30:00,88.0,22500,93.85,103.65,65.0,73.9,22300,99.2,110.0,74.35,84.3,-21.23,-10.32,-10.91,-21.23
