Date,Day,Future,Expiry.Day,Time,Target,StrikeCE,CE Open,CE High,CE Low,CE Close,StrikePE,PE Open,PE High,PE Low,PE Close,PL0,PL0.CE,PL0.PE,Total PNL
2024-01-02,Tuesday,72149.99,FALSE,09:26:00,280.0,72400,320.5,365.1,161.75,169.6,72100,336.6,710.8,297.3,483.2,-73.93,-36.06,-37.87,-73.93
2024-01-09,Tuesday,71854.57,FALSE,09:26:00,280.0,72100,271.15,362.8,86.7,120.55,71800,291.65,617.25,220.55,542.75,-63.31,-30.5,-32.81,-63.31
2024-01-16,Tuesday,73203.99,FALSE,09:26:00,280.0,73500,295.5,380.0,169.55,212.6,72800,288.0,375.3,208.35,262.6,-65.64,-33.24,-32.4,-65.64
2024-01-20,Saturday,71888.23,FALSE,09:26:00,280.0,72400,308.55,319.15,139.15,171.95,71600,321.0,550.75,300.85,444.0,96.63,132.74,-36.11,96.63
2024-01-30,Tuesday,71824.89,FALSE,09:26:00,280.0,73000,296.2,352.5,108.45,125.5,70700,301.2,413.0,234.0,368.1,-67.2,-33.32,-33.88,-67.2
2024-02-06,Tuesday,71841.83,FALSE,09:26:00,280.0,72600,287.15,408.05,240.85,360.0,71000,294.35,311.95,157.45,162.75,95.62,-32.3,127.92,95.62
2024-02-13,Tuesday,71116.78,FALSE,09:26:00,280.0,71900,286.1,395.15,229.1,335.8,70400,276.75,351.0,113.7,131.75,-63.32,-32.19,-31.13,-63.32
2024-02-20,Tuesday,72615.36,FALSE,09:26:00,280.0,73100,298.45,455.9,277.0,439.6,72000,307.35,338.7,158.95,163.55,-68.16,-33.58,-34.58,-68.16
2024-02-27,Tuesday,72838.17,FALSE,09:26:00,280.0,73500,315.85,384.8,247.5,307.95,72300,319.2,329.5,193.65,206.4,73.28,-35.53,108.81,73.28
2024-03-04,Monday,73911.45,FALSE,09:26:00,280.0,74400,317.3,311.8,182.6,202.4,73400,306.45,353.95,235.45,257.1,76.45,110.93,-34.48,76.45
2024-03-12,Tuesday,73586.22,FALSE,09:26:00,280.0,74000,291.9,464.95,221.4,332.85,73300,290.75,370.95,160.15,241.9,-65.55,-32.84,-32.71,-65.55
2024-03-19,Tuesday,72390.59,FALSE,09:26:00,280.0,72900,303.55,317.4,134.1,141.1,72100,303.8,464.8,260.55,418.65,124.48,158.66,-34.18,124.48
2024-04-02,Tuesday,73902.96,FALSE,09:26:00,280.0,74200,304.0,396.2,232.0,292.2,73700,309.8,342.3,224.0,230.0,-69.05,-34.2,-34.85,-69.05
2024-04-08,Monday,74512.3,FALSE,09:26:00,280.0,74800,319.7,450.8,296.9,382.05,74200,333.2,361.1,208.65,237.1,55.96,-35.97,91.93,55.96
2024-04-15,Monday,73679.13,FALSE,09:26:00,280.0,74300,300.0,323.6,139.5,144.85,72900,293.75,337.35,160.25,245.1,118.35,151.4,-33.05,118.35
2024-04-23,Tuesday,73911.01,FALSE,09:26:00,280.0,74100,286.95,293.05,223.3,232.25,73600,290.3,344.25,252.0,316.8,18.45,51.11,-32.66,18.45
2024-04-29,Monday,74136.12,FALSE,09:26:00,280.0,74600,308.3,520.0,267.3,446.4,74000,318.3,379.0,188.4,205.75,-70.49,-34.68,-35.81,-70.49
2024-05-07,Tuesday,73971.9,FALSE,09:26:00,280.0,74400,295.4,310.9,119.2,164.45,73600,293.25,620.0,255.15,462.5,94.27,127.26,-32.99,94.27
2024-05-14,Tuesday,72844.79,FALSE,09:26:00,280.0,73300,301.15,453.55,235.0,348.0,72500,296.1,349.2,147.45,167.9,-67.19,-33.88,-33.31,-67.19
2024-05-21,Tuesday,73902.16,FALSE,09:26:00,280.0,74400,324.85,377.0,253.15,282.45,73500,312.7,323.65,154.45,214.5,57.74,-36.55,94.29,57.74
2024-05-28,Tuesday,75509.44,FALSE,09:26:00,300.0,76000,309.2,326.4,193.7,207.0,75200,325.6,417.6,291.0,363.45,61.7,98.33,-36.63,61.7
2024-06-04,Tuesday,74355.28,FALSE,09:26:00,280.0,78500,294.6,413.65,80.0,101.0,72000,459.85,2800.0,271.15,1084.75,-84.87,-33.14,-51.73,-84.87
2024-06-11,Tuesday,76533.51,FALSE,09:26:00,300.0,77300,317.95,339.35,174.15,187.6,75900,324.7,390.55,158.0,227.2,89.85,126.38,-36.53,89.85
