Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-02,Tuesday,21837.9,FALSE,09:33:00,13:00:00,84.0,21750CE,91.7,109.2,42.75,49.2,114.625,False,,41.58,21750PE,102.85,212.3,84.65,155.4,128.5625,True,2024-01-02 09:57:00,-26.74,21750CE,72.65,73.6,42.75,49.2,108.97500000000001,False,,0.0,-26.74,18.132999999999996,23.45,14.842999999999996
2024-01-09,Tuesday,21725.05,FALSE,09:33:00,13:00:00,84.0,21650CE,98.45,144.35,72.65,124.85,123.0625,True,2024-01-09 10:42:00,-25.6,21700PE,99.25,139.25,65.75,74.65,124.0625,True,2024-01-09 09:43:00,-25.81,21650CE,85.1,144.35,72.65,124.85,127.64999999999999,True,2024-01-09 10:43:00,0.0,-25.81,12.365500000000008,-42.55,-55.99449999999999
2024-01-16,Tuesday,22078.15,FALSE,09:33:00,13:00:00,88.0,22050CE,110.9,145.0,86.2,86.2,138.625,True,2024-01-16 09:53:00,-28.83,22100PE,122.7,130.5,87.2,130.5,153.375,False,,-9.03,22100PE,100.9,130.5,87.2,130.5,151.35000000000002,False,,0.0,-28.83,20.572999999999997,-29.6,-37.857
2024-01-23,Tuesday,21764.25,FALSE,09:33:00,13:00:00,84.0,21800CE,87.2,92.7,15.5,16.4,109.0,False,,69.93,21750PE,96.85,412.05,89.35,404.6,121.0625,True,2024-01-23 09:59:00,-25.18,21800CE,72.3,72.4,15.5,16.4,108.44999999999999,False,,0.0,-25.18,14.028000000000006,55.9,44.748000000000005
2024-01-30,Tuesday,21851.9,FALSE,09:33:00,13:00:00,84.0,22000CE,84.1,98.35,44.9,52.45,105.125,False,,30.81,21500PE,83.95,95.9,64.05,73.6,104.9375,False,,9.51,,,,,,,False,,40.32,0.0,0.0,0.0,40.32
2024-02-06,Tuesday,21859.75,FALSE,09:33:00,13:00:00,84.0,21900CE,91.5,145.95,74.3,118.65,114.375,True,2024-02-06 10:03:00,-23.79,21700PE,99.8,104.7,50.4,58.35,124.75,False,,40.45,21700PE,76.45,104.7,50.4,58.35,114.67500000000001,False,,0.0,-23.79,22.351999999999993,18.1,16.661999999999995
2024-02-13,Tuesday,21635.6,FALSE,09:33:00,13:00:00,84.0,21650CE,99.25,188.0,101.05,152.45,124.0625,True,2024-02-13 09:36:00,-25.81,21450PE,93.4,92.2,30.3,30.8,116.75,False,,61.67,21450PE,65.5,77.95,30.3,30.8,98.25,False,,0.0,-25.81,26.966000000000005,34.7,35.85600000000001
2024-02-20,Tuesday,22121.45,FALSE,09:33:00,13:00:00,88.0,22150CE,88.2,139.5,73.8,121.8,110.25,True,2024-02-20 10:30:00,-22.93,22000PE,96.15,117.2,53.55,60.0,120.1875,False,,35.19,22000PE,79.2,98.2,53.55,60.0,118.80000000000001,False,,0.0,-22.93,15.988500000000002,19.2,12.258500000000002
2024-02-27,Tuesday,22140.0,FALSE,09:33:00,13:00:00,88.0,22200CE,101.25,126.5,77.0,120.2,126.5625,False,,-19.96,22050PE,93.25,104.5,54.0,56.2,116.5625,False,,36.12,,,,,,,False,,16.159999999999997,0.0,0.0,0.0,16.159999999999997
2024-03-05,Tuesday,22468.05,FALSE,09:33:00,13:00:00,88.0,22400CE,98.1,114.4,43.25,111.65,122.625,False,,-14.53,22300PE,88.5,136.15,57.85,59.05,110.625,True,2024-03-05 10:16:00,-23.01,22400CE,69.35,114.4,43.25,111.65,104.02499999999999,True,2024-03-05 13:00:00,0.0,-23.01,27.769,-34.67,-29.911000000000005
2024-03-12,Tuesday,22459.5,FALSE,09:33:00,13:00:00,88.0,22400CE,106.95,150.0,73.65,97.75,133.6875,True,2024-03-12 09:36:00,-27.81,22400PE,106.65,155.65,69.65,110.6,133.3125,True,2024-03-12 10:46:00,-27.73,22400PE,96.3,155.65,69.65,110.6,144.45,True,2024-03-12 10:47:00,0.0,-27.81,9.283500000000009,-48.15,-66.67649999999999
2024-03-19,Tuesday,22019.85,FALSE,09:33:00,13:00:00,88.0,22000CE,103.35,113.7,54.2,64.7,129.1875,False,,37.62,21900PE,102.95,162.85,84.35,117.25,128.6875,True,2024-03-19 10:00:00,-26.77,22000CE,80.95,82.65,54.2,64.7,121.42500000000001,False,,0.0,-26.77,21.36649999999999,16.25,10.846499999999992
2024-03-26,Tuesday,22094.05,FALSE,09:33:00,13:00:00,88.0,22100CE,110.25,126.15,91.1,119.15,137.8125,False,,-10.0,22100PE,114.5,130.5,76.45,80.4,143.125,False,,32.96,,,,,,,False,,22.96,0.0,0.0,0.0,22.96
2024-04-02,Tuesday,22602.3,FALSE,09:33:00,13:00:00,88.0,22500CE,100.65,104.75,49.2,57.3,125.8125,False,,42.34,22500PE,112.1,164.2,107.7,128.65,140.125,True,2024-04-02 09:59:00,-29.15,22500CE,64.85,72.2,49.2,57.3,97.27499999999999,False,,0.0,-29.15,34.79350000000001,7.55,13.19350000000001
2024-04-08,Monday,22687.7,FALSE,09:33:00,13:00:00,88.0,22600CE,110.2,146.0,97.7,142.8,137.75,True,2024-04-08 12:19:00,-28.65,22650PE,119.4,132.7,74.1,76.2,149.25,False,,42.01,22650PE,80.45,84.55,74.1,76.2,120.67500000000001,False,,0.0,-28.65,37.756,4.25,13.356000000000002
2024-04-15,Monday,22398.45,FALSE,09:33:00,13:00:00,88.0,22400CE,106.1,161.8,90.65,96.6,132.625,True,2024-04-15 10:05:00,-27.59,22300PE,100.85,116.95,51.3,76.4,126.0625,False,,23.44,22300PE,71.8,82.0,51.3,76.4,107.69999999999999,False,,0.0,-27.59,28.041499999999996,-4.6,-4.148500000000004
2024-04-23,Tuesday,22379.7,FALSE,09:33:00,13:00:00,88.0,22400CE,92.55,104.3,73.5,93.05,115.6875,False,,-1.43,22350PE,90.15,103.75,61.35,64.75,112.6875,False,,24.5,,,,,,,False,,23.07,0.0,0.0,0.0,23.07
2024-04-29,Monday,22638.0,FALSE,09:33:00,13:00:00,88.0,22600CE,96.25,119.9,70.7,117.3,120.3125,False,,-22.01,22550PE,104.15,144.6,73.0,76.5,130.1875,True,2024-04-29 09:47:00,-27.08,22600CE,84.2,119.9,70.7,117.3,126.30000000000001,False,,0.0,-27.08,11.087499999999997,-33.1,-49.0925
2024-05-07,Tuesday,22558.55,FALSE,09:33:00,13:00:00,88.0,22500CE,111.15,115.45,34.15,39.7,138.9375,False,,70.34,22450PE,105.05,262.35,98.9,238.9,131.3125,True,2024-05-07 09:57:00,-27.31,22500CE,95.9,95.8,34.15,39.7,143.85000000000002,False,,0.0,-27.31,14.1385,56.2,43.02850000000001
2024-05-14,Tuesday,22192.4,FALSE,09:33:00,13:00:00,88.0,22150CE,103.2,163.6,81.0,155.05,129.0,True,2024-05-14 11:15:00,-26.83,22050PE,94.9,109.0,39.75,41.05,118.625,False,,52.9,22050PE,56.7,65.15,39.75,41.05,85.05000000000001,False,,0.0,-26.83,37.251000000000005,15.65,26.071000000000005
2024-05-21,Tuesday,22532.2,FALSE,09:33:00,13:00:00,88.0,22550CE,88.6,139.65,68.35,133.05,110.75,True,2024-05-21 11:56:00,-23.04,22400PE,88.3,93.85,38.3,40.1,110.375,False,,47.32,22400PE,48.65,56.45,38.3,40.1,72.975,False,,0.0,-23.04,38.766999999999996,8.55,24.276999999999997
2024-05-28,Tuesday,23001.45,FALSE,09:33:00,13:00:00,92.0,23050CE,103.7,117.0,61.85,75.9,129.625,False,,26.76,22950PE,107.7,140.0,88.0,110.15,134.625,True,2024-05-28 12:35:00,-28.0,23050CE,66.0,87.95,61.85,75.9,99.0,False,,0.0,-28.0,36.663000000000004,-9.9,-1.2369999999999965
2024-06-04,Tuesday,22737.95,FALSE,09:33:00,13:00:00,88.0,23950CE,88.55,114.0,28.95,47.35,110.6875,True,2024-06-04 09:37:00,-23.02,21500PE,90.65,593.25,45.25,331.5,113.3125,True,2024-06-04 09:34:00,-23.57,23950CE,94.95,114.0,28.95,47.35,142.425,False,,0.0,-23.57,-7.285500000000006,47.6,16.744499999999995
2024-06-11,Tuesday,23270.05,FALSE,09:33:00,13:00:00,92.0,23350CE,98.1,145.8,80.7,121.85,122.625,True,2024-06-11 10:09:00,-25.51,23100PE,93.9,114.65,40.4,46.3,117.375,False,,46.66,23100PE,65.25,65.95,40.4,46.3,97.875,False,,0.0,-25.51,27.711000000000006,18.95,21.151000000000003
2024-06-18,Tuesday,23581.9,FALSE,09:33:00,13:00:00,92.0,23550CE,115.15,127.0,77.6,86.75,143.9375,False,,27.25,23600PE,107.3,129.1,90.0,106.45,134.125,False,,-0.22,,,,,,,False,,27.03,0.0,0.0,0.0,27.03
2024-06-25,Tuesday,23591.85,FALSE,09:33:00,13:00:00,92.0,23600CE,103.45,159.0,89.4,156.5,129.3125,True,2024-06-25 12:32:00,-26.9,23600PE,111.4,121.3,72.0,76.65,139.25,False,,33.64,23600PE,74.6,81.15,72.0,76.65,111.89999999999999,False,,0.0,-26.9,35.686000000000014,-2.05,6.736000000000016
2024-07-02,Tuesday,24203.0,FALSE,09:33:00,13:00:00,96.0,24200CE,97.05,123.0,55.55,58.15,121.3125,True,2024-07-02 11:17:00,-25.23,24100PE,98.05,135.0,60.25,127.8,122.5625,True,2024-07-02 09:45:00,-25.49,24200CE,77.75,123.0,55.55,58.15,116.625,True,2024-07-02 11:14:00,0.0,-25.49,18.329499999999996,-38.88,-46.04050000000001
2024-07-09,Tuesday,24406.5,FALSE,09:33:00,13:00:00,96.0,24350CE,106.5,129.0,102.35,121.9,133.125,False,,-16.47,24400PE,108.7,112.2,76.0,80.65,135.875,False,,26.96,,,,,,,False,,10.490000000000002,0.0,0.0,0.0,10.490000000000002
2024-07-15,Monday,24571.25,FALSE,09:33:00,13:00:00,96.0,24550CE,118.6,153.5,100.05,133.85,148.25,True,2024-07-15 11:48:00,-30.84,24600PE,123.45,145.65,91.35,99.35,154.3125,False,,22.87,24600PE,93.1,118.5,91.35,99.35,139.64999999999998,False,,0.0,-30.84,29.115500000000008,-6.25,-7.974499999999992
2024-07-23,Tuesday,24502.3,FALSE,09:33:00,13:00:00,96.0,24800CE,101.75,125.0,18.15,26.45,127.1875,False,,74.28,24150PE,97.95,225.0,55.0,78.55,122.4375,True,2024-07-23 12:17:00,-25.47,24800CE,71.1,73.05,18.15,26.45,106.64999999999999,False,,0.0,-25.47,29.632500000000007,44.65,48.81250000000001
2024-07-30,Tuesday,24928.55,FALSE,09:33:00,13:00:00,96.0,24900CE,104.9,146.85,79.05,118.3,131.125,True,2024-07-30 10:56:00,-27.27,24850PE,95.85,115.45,56.8,65.05,119.8125,False,,29.84,24850PE,67.45,74.05,56.8,65.05,101.17500000000001,False,,0.0,-27.27,27.44149999999999,2.4,2.571499999999991
2024-08-06,Tuesday,24325.0,FALSE,09:33:00,13:00:00,96.0,24400CE,101.9,123.55,41.45,45.8,127.375,False,,55.08,24200PE,107.85,199.0,82.75,147.0,134.8125,True,2024-08-06 10:28:00,-28.04,24400CE,71.9,88.1,41.45,45.8,107.85000000000001,False,,0.0,-28.04,28.981,26.1,27.041000000000004
2024-08-12,Monday,24356.95,FALSE,09:33:00,13:00:00,96.0,24400CE,100.8,190.0,64.6,136.4,126.0,True,2024-08-12 10:53:00,-26.21,24250PE,107.05,147.7,47.4,55.65,133.8125,True,2024-08-12 09:50:00,-27.83,24400CE,70.05,190.0,64.6,136.4,105.07499999999999,True,2024-08-12 10:43:00,0.0,-27.83,29.742,-35.02,-33.108000000000004
2024-08-20,Tuesday,24646.8,FALSE,09:33:00,13:00:00,96.0,24600CE,110.2,199.2,110.1,173.95,137.75,True,2024-08-20 09:40:00,-28.65,24650PE,110.0,109.85,52.45,55.05,137.5,False,,53.85,24650PE,86.55,87.85,52.45,55.05,129.825,False,,0.0,-28.65,22.35,31.5,25.200000000000003
2024-08-27,Tuesday,25006.7,FALSE,09:33:00,13:00:00,100.0,24950CE,128.7,180.95,110.2,145.6,160.875,True,2024-08-27 11:19:00,-33.46,25050PE,117.45,132.7,65.45,79.65,146.8125,False,,36.63,25050PE,75.2,89.45,65.45,79.65,112.80000000000001,False,,0.0,-33.46,41.0755,-4.45,3.165499999999997
2024-09-03,Tuesday,25333.3,FALSE,09:33:00,13:00:00,100.0,25250CE,104.85,120.0,97.45,119.0,131.0625,False,,-15.2,25300PE,113.35,117.9,83.05,84.1,141.6875,False,,28.12,,,,,,,False,,12.920000000000002,0.0,0.0,0.0,12.920000000000002
