Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-01,Monday,72240.55,FALSE,13:45:00,15:25:00,430.0,72400CE,434.85,725.0,331.65,333.25,630.5325,True,2024-01-01 14:43:00,-201.12,72400PE,423.85,518.15,283.0,508.9,614.5825,False,,-90.35,72400PE,291.05,518.15,283.0,508.9,436.57500000000005,True,2024-01-01 15:13:00,0.0,-201.12,127.50187500000001,-145.53,-219.148125
2024-01-08,Monday,71504.33,FALSE,13:45:00,15:25:00,410.0,71600CE,405.45,485.0,292.8,304.65,587.9024999999999,False,,95.73,71600PE,447.0,564.95,325.35,529.45,648.15,False,,-88.04,,,,,,,False,,7.689999999999998,0.0,0.0,0.0,7.689999999999998
2024-01-15,Monday,73158.13,FALSE,13:45:00,15:25:00,470.0,73200CE,470.0,590.0,419.1,559.8,681.5,False,,-95.67,73200PE,473.95,513.75,365.0,373.7,687.2275,False,,94.33,,,,,,,False,,-1.3400000000000034,0.0,0.0,0.0,-1.3400000000000034
2024-01-29,Monday,71810.43,FALSE,13:45:00,15:25:00,770.0,71900CE,769.65,853.75,687.4,804.95,1115.9924999999998,False,,-44.92,71900PE,724.35,735.25,555.0,573.15,1050.3075,False,,142.15,,,,,,,False,,97.23,0.0,0.0,0.0,97.23
2024-02-05,Monday,72200.46,FALSE,13:45:00,15:25:00,590.0,72300CE,592.0,619.5,339.15,353.2,858.4,False,,231.4,72300PE,601.55,1012.25,561.2,907.7,872.2475,True,2024-02-05 14:43:00,-278.22,72300CE,355.95,414.95,339.15,353.2,533.925,False,,0.0,-278.22,228.65,2.75,-46.82000000000002
2024-02-12,Monday,71108.78,FALSE,13:45:00,15:25:00,630.0,71200CE,626.3,718.6,556.3,608.65,908.1349999999999,False,,9.82,71200PE,597.45,643.95,470.3,549.15,866.3025,False,,40.83,,,,,,,False,,50.65,0.0,0.0,0.0,50.65
2024-02-19,Monday,72764.36,FALSE,13:45:00,15:25:00,570.0,72800CE,568.6,628.55,451.8,477.85,824.47,False,,83.64,72800PE,543.45,620.0,502.85,593.5,788.0025,False,,-56.84,,,,,,,False,,26.799999999999997,0.0,0.0,0.0,26.799999999999997
2024-02-26,Monday,72854.02,FALSE,13:45:00,15:25:00,580.0,73000CE,576.4,638.5,518.1,540.25,835.78,False,,28.94,73000PE,566.4,606.8,488.6,587.35,821.28,False,,-28.03,,,,,,,False,,0.9100000000000001,0.0,0.0,0.0,0.9100000000000001
2024-03-11,Monday,73737.96,FALSE,13:45:00,15:25:00,460.0,73900CE,464.8,495.0,335.9,343.15,673.96,False,,115.84,73900PE,512.55,641.45,471.3,600.55,743.1974999999999,False,,-94.41,,,,,,,False,,21.430000000000007,0.0,0.0,0.0,21.430000000000007
2024-03-18,Monday,72795.11,FALSE,13:45:00,15:25:00,480.0,72900CE,475.0,572.75,404.05,437.9,688.75,False,,31.16,72900PE,514.35,557.8,415.1,510.3,745.8075,False,,-2.38,,,,,,,False,,28.78,0.0,0.0,0.0,28.78
