Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-01-05,Friday,TRUE,10:50:00,15:28:00,71951.25,"('72000CE', '72000PE')",74.85,82.1,156.95,2024-01-05 10:52:00,210.0,71800CE,210.9,252.4,81.25,226.1,-17.656875,-17.83624999999999,-35.49312499999999
2024-01-12,Friday,TRUE,10:50:00,15:28:00,72372.19,"('72400CE', '72300PE')",83.25,94.65,177.9,2024-01-12 10:58:00,210.0,72600PE,261.7,306.9,30.25,31.65,-20.01375,226.77874999999997,206.765
2024-01-19,Friday,TRUE,10:50:00,15:28:00,71800.56,"('71800CE', '71800PE')",101.85,91.0,192.85,2024-01-19 10:57:00,210.0,71600CE,218.2,222.25,63.0,83.9,-21.695625,131.5725,109.87687499999998
2024-01-25,Thursday,TRUE,10:50:00,15:28:00,70471.33,"('70800CE', '70100PE')",83.2,81.25,164.45,2024-01-25 10:54:00,210.0,70400CE,212.4,467.0,24.05,289.3,-18.500625,-66.375,-84.875625
2024-02-02,Friday,TRUE,10:50:00,15:28:00,72377.82,"('72600CE', '72300PE')",70.55,81.55,152.1,2024-02-02 11:13:00,210.0,72800PE,238.0,1814.35,70.0,713.35,-17.111250000000002,-74.37499999999999,-91.48624999999998
2024-02-09,Friday,TRUE,10:50:00,15:28:00,71418.59,"('71600CE', '71200PE')",92.1,88.45,180.55,2024-02-09 10:55:00,210.0,71300CE,256.85,599.95,174.0,294.4,-20.311875000000004,-80.265625,-100.5775
2024-02-16,Friday,TRUE,10:50:00,15:28:00,72373.98,"('72500CE', '72200PE')",73.85,75.3,149.14999999999998,,210.0,,,,,,147.185625,0.0,147.185625
2024-02-23,Friday,TRUE,10:50:00,15:28:00,73217.73,"('73300CE', '73200PE')",105.4,90.2,195.60000000000002,2024-02-23 11:50:00,210.0,73500PE,289.95,390.0,212.15,357.3,-22.005000000000003,-90.609375,-112.614375
2024-03-01,Friday,TRUE,10:50:00,15:28:00,73176.46,"('73500CE', '72800PE')",90.6,80.8,171.39999999999998,2024-03-01 11:10:00,210.0,73400PE,249.95,263.0,0.05,0.05,-19.282499999999995,246.775625,227.493125
2024-03-07,Thursday,TRUE,10:50:00,15:28:00,74024.29,"('74100CE', '73900PE')",81.25,75.7,156.95,2024-03-07 11:03:00,210.0,74400PE,268.7,500.0,207.1,281.1,-17.656875,-83.96875,-101.625625
2024-03-15,Friday,TRUE,10:50:00,15:28:00,72652.9,"('72800CE', '72600PE')",71.05,83.35,154.39999999999998,2024-03-15 11:08:00,210.0,72400CE,249.8,322.65,175.0,241.2,-17.369999999999997,5.477500000000022,-11.892499999999975
2024-03-22,Friday,TRUE,10:50:00,15:28:00,72673.28,"('72900CE', '72500PE')",97.25,95.15,192.4,2024-03-22 14:45:00,210.0,73300PE,264.7,517.45,125.9,467.2,-21.645000000000003,-82.71875,-104.36375000000001
2024-03-28,Thursday,TRUE,10:50:00,15:28:00,73788.13,"('74000CE', '73600PE')",80.0,70.2,150.2,2024-03-28 11:01:00,210.0,74000PE,213.25,530.85,20.0,350.0,-16.8975,-66.640625,-83.53812500000001
2024-04-05,Friday,TRUE,10:50:00,15:28:00,74161.76,"('74300CE', '74100PE')",84.0,98.4,182.4,,210.0,,,,,,179.97,0.0,179.97
2024-04-12,Friday,TRUE,10:50:00,15:28:00,74664.32,"('74800CE', '74300PE')",73.8,74.8,148.6,2024-04-12 11:17:00,210.0,74900PE,251.15,1005.0,178.65,656.9,-16.7175,-78.484375,-95.201875
2024-04-19,Friday,TRUE,10:50:00,15:28:00,72067.24,"('72600CE', '71500PE')",77.75,77.4,155.15,2024-04-19 10:55:00,210.0,72200PE,259.6,323.45,0.05,0.1,-17.454375,256.255,238.800625
2024-04-26,Friday,TRUE,10:50:00,15:28:00,74176.68,"('74300CE', '73900PE')",79.3,73.95,153.25,2024-04-26 11:55:00,210.0,74000CE,211.95,225.95,0.05,0.1,-17.240625,209.200625,191.96
2024-05-03,Friday,TRUE,10:50:00,15:28:00,74422.5,"('74700CE', '73900PE')",96.0,90.2,186.2,2024-05-03 11:21:00,210.0,74100CE,210.65,212.5,0.1,0.1,-20.9475,207.916875,186.969375
2024-05-10,Friday,TRUE,10:50:00,15:28:00,72681.41,"('72900CE', '72400PE')",82.45,78.55,161.0,,210.0,,,,,,158.88750000000002,0.0,158.88750000000002
2024-05-17,Friday,TRUE,10:50:00,15:28:00,73864.46,"('74300CE', '73600PE')",94.2,88.3,182.5,,210.0,,,,,,180.11875,0.0,180.11875
2024-05-24,Friday,TRUE,10:50:00,15:28:00,75351.21,"('75500CE', '75200PE')",70.15,84.45,154.60000000000002,,225.0,,,,,,152.56750000000002,0.0,152.56750000000002
2024-05-31,Friday,TRUE,10:50:00,15:28:00,74043.7,"('74300CE', '73800PE')",82.55,86.35,168.89999999999998,,210.0,,,,,,166.68874999999997,0.0,166.68874999999997
2024-06-07,Friday,TRUE,10:50:00,15:28:00,75803.43,"('76600CE', '75200PE')",77.8,78.85,156.64999999999998,2024-06-07 11:36:00,225.0,76100PE,260.0,269.55,0.05,0.05,-17.623124999999998,256.7,239.076875
2024-06-14,Friday,TRUE,10:50:00,15:28:00,76927.95,"('77000CE', '76800PE')",70.25,80.0,150.25,,225.0,,,,,,148.271875,0.0,148.271875
2024-06-21,Friday,TRUE,10:50:00,15:28:00,77198.42,"('77400CE', '76800PE')",93.05,95.05,188.1,2024-06-21 12:46:00,225.0,76800CE,239.8,678.1,133.6,413.65,-21.16125,-74.9375,-96.09875
2024-06-28,Friday,TRUE,10:50:00,15:28:00,79498.36,"('79700CE', '79300PE')",96.4,97.6,194.0,2024-06-28 12:17:00,225.0,79200CE,249.05,357.8,0.05,0.05,-21.825000000000003,-77.828125,-99.653125
2024-07-05,Friday,TRUE,10:50:00,15:28:00,79778.44,"('79800CE', '79700PE')",77.8,95.15,172.95,2024-07-05 15:10:00,225.0,80300PE,325.15,360.9,283.2,300.5,-19.456874999999997,20.58562499999998,1.1287499999999824
2024-07-12,Friday,TRUE,10:50:00,15:28:00,80042.8,"('80400CE', '79700PE')",93.0,98.05,191.05,2024-07-12 10:53:00,240.0,80500PE,279.0,335.9,0.1,0.1,-21.493125,275.41249999999997,253.91937499999997
2024-07-19,Friday,TRUE,10:50:00,15:28:00,81040.89,"('81100CE', '81000PE')",111.1,105.35,216.45,2024-07-19 14:10:00,240.0,80500CE,312.8,312.8,100.45,103.75,-24.350625,205.14000000000001,180.789375
2024-07-26,Friday,TRUE,10:50:00,15:28:00,80560.77,"('80800CE', '80400PE')",94.1,99.8,193.89999999999998,2024-07-26 11:00:00,240.0,80900PE,296.6,306.0,0.05,0.05,-21.81375,292.84250000000003,271.02875000000006
2024-08-02,Friday,TRUE,10:50:00,15:28:00,81225.26,"('81300CE', '81100PE')",87.0,95.0,182.0,,240.0,,,,,,60.225,0.0,60.225
