Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-02,Tuesday,21771.8,FALSE,10:20:00,15:25:00,52.5,21750CE,67.8,78.2,38.1,41.4,101.69999999999999,False,,25.72,21600PE,63.1,119.0,41.8,62.75,94.65,True,2024-01-02 10:36:00,-32.18,21750CE,49.7,78.2,38.1,41.4,74.55000000000001,True,2024-01-02 14:40:00,0.0,-32.18,17.421999999999993,-24.85,-39.608000000000004
2024-01-09,Tuesday,21748.55,FALSE,10:20:00,15:25:00,52.5,21750CE,61.7,83.2,15.95,20.2,92.55000000000001,False,,40.88,21650PE,65.35,154.6,48.9,130.95,98.02499999999999,True,2024-01-09 14:20:00,-33.33,21750CE,31.75,33.85,15.95,20.2,47.625,False,,0.0,-33.33,29.333000000000002,11.55,7.553000000000004
2024-01-16,Tuesday,22094.55,FALSE,10:20:00,15:25:00,55.0,22150CE,70.85,85.55,30.4,39.9,106.27499999999999,False,,30.24,22000PE,71.0,119.2,54.05,75.0,106.5,True,2024-01-16 13:34:00,-36.21,22150CE,33.4,51.75,30.4,39.9,50.099999999999994,True,2024-01-16 14:13:00,0.0,-36.21,36.741499999999995,-16.7,-16.168500000000005
2024-01-23,Tuesday,21690.0,FALSE,10:20:00,15:25:00,52.5,21800CE,60.45,60.35,7.7,8.35,90.67500000000001,False,,51.5,21550PE,58.8,417.6,58.4,358.45,88.19999999999999,True,2024-01-23 10:32:00,-29.99,21800CE,47.85,49.55,7.7,8.35,71.775,False,,0.0,-29.99,11.995500000000002,39.5,21.505500000000005
2024-01-30,Tuesday,21863.4,FALSE,10:20:00,15:25:00,52.5,22050CE,63.55,65.35,14.05,15.45,95.32499999999999,False,,47.46,21450PE,60.95,122.8,53.75,100.7,91.42500000000001,True,2024-01-30 14:29:00,-31.08,22050CE,27.85,28.7,14.05,15.45,41.775000000000006,False,,0.0,-31.08,35.064499999999995,12.4,16.384499999999996
2024-02-06,Tuesday,21900.65,FALSE,10:20:00,15:25:00,52.5,22050CE,53.3,80.55,35.5,72.15,79.94999999999999,True,2024-02-06 14:39:00,-27.18,21600PE,52.25,69.0,24.9,25.85,78.375,False,,25.88,21600PE,27.95,36.35,24.9,25.85,41.925,False,,0.0,-27.18,23.7775,2.1,-1.3024999999999998
2024-02-13,Tuesday,21758.05,FALSE,10:20:00,15:25:00,52.5,21850CE,58.65,80.8,34.4,64.05,87.975,False,,-5.99,21500PE,58.15,74.05,29.8,35.9,87.225,False,,21.67,,,,,,,False,,15.680000000000001,0.0,0.0,0.0,15.680000000000001
2024-02-20,Tuesday,22142.25,FALSE,10:20:00,15:25:00,55.0,22250CE,61.8,88.8,42.25,83.95,92.69999999999999,False,,-22.77,21950PE,68.35,79.4,35.0,36.35,102.52499999999999,False,,31.32,,,,,,,False,,8.55,0.0,0.0,0.0,8.55
2024-02-27,Tuesday,22119.75,FALSE,10:20:00,15:25:00,55.0,22250CE,67.4,103.5,59.7,77.55,101.10000000000001,True,2024-02-27 12:55:00,-34.37,21950PE,60.25,67.45,25.8,31.1,90.375,False,,28.55,21950PE,34.0,44.75,25.8,31.1,51.0,False,,0.0,-34.37,25.6475,2.9,-5.822499999999996
2024-03-05,Tuesday,22378.0,FALSE,10:20:00,15:25:00,55.0,22400CE,62.7,114.4,43.25,69.6,94.05000000000001,True,2024-03-05 12:56:00,-31.98,22150PE,63.25,69.7,26.85,30.7,94.875,False,,31.92,22150PE,30.7,38.9,26.85,30.7,46.05,False,,0.0,-31.98,31.917499999999997,0.0,-0.06250000000000355
2024-03-12,Tuesday,22524.95,FALSE,10:20:00,15:25:00,55.0,22550CE,66.2,69.25,28.9,32.85,99.30000000000001,False,,32.69,22350PE,57.8,127.75,54.5,85.85,86.69999999999999,True,2024-03-12 10:45:00,-29.48,22550CE,36.9,53.1,28.9,32.85,55.349999999999994,False,,0.0,-29.48,28.638000000000005,4.05,3.2080000000000046
2024-03-19,Tuesday,21951.2,FALSE,10:20:00,15:25:00,52.5,22050CE,59.1,62.3,27.45,29.65,88.65,False,,28.86,21700PE,53.85,68.85,37.9,54.0,80.775,False,,-0.69,,,,,,,False,,28.169999999999998,0.0,0.0,0.0,28.169999999999998
