Date,Day,Future,Expiry.Day,Start.Time,End.Time,Target,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Price,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Price,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Price,UT.SL.Flag,UT.SL.Time,BPL,TT PL at SL,UT PL at SL,UT PL,Total PNL
2024-01-04,Thursday,71792.46,FALSE,10:40:00,15:25:00,175.0,71800CE,225.0,276.3,178.6,267.75,405.0,False,,-45.56,71800PE,203.0,226.75,74.0,74.9,365.40000000000003,False,,125.56,,,,,,,False,,80.0,0.0,0.0,0.0,80.0
2024-01-11,Thursday,71805.95,FALSE,10:40:00,15:25:00,175.0,71900CE,197.25,201.6,80.95,133.5,355.05,False,,61.28,71800PE,201.35,366.15,159.5,209.8,362.43,True,2024-01-11 14:14:00,-163.6,71900CE,86.6,171.95,80.95,133.5,129.89999999999998,True,2024-01-11 14:28:00,0.0,-163.6,108.184375,-43.3,-98.71562499999999
2024-01-18,Thursday,71109.67,FALSE,10:40:00,15:25:00,175.0,71400CE,208.75,365.0,103.7,213.6,375.75,False,,-7.46,70700PE,209.1,213.9,44.1,74.15,376.38,False,,132.34,,,,,,,False,,124.88000000000001,0.0,0.0,0.0,124.88000000000001
2024-01-24,Wednesday,70801.42,FALSE,10:40:00,15:25:00,175.0,71200CE,196.5,299.9,61.75,270.0,353.7,False,,-75.96,70600PE,207.85,529.0,65.65,79.4,374.13,True,2024-01-24 11:30:00,-168.88,71200CE,80.45,299.9,61.75,270.0,120.67500000000001,True,2024-01-24 11:36:00,0.0,-168.88,113.59375,-40.23,-95.51624999999999
2024-02-01,Thursday,71982.2,FALSE,10:40:00,15:25:00,175.0,73000CE,172.6,213.85,5.25,6.2,310.68,False,,164.24,71300PE,178.85,302.05,68.85,117.85,321.93,False,,58.76,,,,,,,False,,223.0,0.0,0.0,0.0,223.0
2024-02-08,Thursday,72189.44,FALSE,10:40:00,15:25:00,175.0,72600CE,196.15,195.4,17.5,26.35,353.07,False,,167.35,71900PE,198.6,719.95,202.55,523.15,357.48,True,2024-02-08 10:58:00,-161.36,72600CE,112.2,113.2,17.5,26.35,168.3,False,,0.0,-161.36,81.498125,85.85,5.988124999999982
2024-02-15,Thursday,71845.25,FALSE,10:40:00,15:25:00,175.0,72300CE,186.25,270.0,143.05,217.65,335.25,False,,-33.73,71400PE,175.05,207.0,64.9,65.6,315.09000000000003,False,,107.26,,,,,,,False,,73.53,0.0,0.0,0.0,73.53
2024-02-22,Thursday,72257.11,FALSE,10:40:00,15:25:00,175.0,72700CE,179.7,641.05,117.65,638.05,323.46,True,2024-02-22 13:59:00,-146.01,71900PE,190.05,247.9,11.85,12.0,342.09000000000003,False,,175.67,71900PE,47.0,62.7,11.85,12.0,70.5,False,,0.0,-146.01,140.674375,35.0,29.664375000000007
2024-02-29,Thursday,72165.47,FALSE,10:40:00,15:25:00,175.0,72700CE,193.45,331.6,140.65,250.1,348.21,False,,-59.07,71700PE,179.65,182.05,32.25,32.25,323.37,False,,145.15,,,,,,,False,,86.08000000000001,0.0,0.0,0.0,86.08000000000001
2024-03-06,Wednesday,73519.75,FALSE,10:40:00,15:25:00,175.0,73800CE,183.4,558.95,128.85,507.0,330.12,True,2024-03-06 14:04:00,-149.01,73200PE,187.85,251.35,28.6,30.55,338.13,False,,154.95,73200PE,62.65,67.75,28.6,30.55,93.975,False,,0.0,-149.01,122.85187499999999,32.1,5.941875000000003
2024-03-14,Thursday,72911.54,FALSE,10:40:00,15:25:00,175.0,73200CE,206.65,458.2,190.4,207.6,371.97,True,2024-03-14 11:42:00,-167.9,72800PE,205.7,215.15,80.9,96.65,370.26,False,,106.48,72800PE,106.0,181.15,80.9,96.65,159.0,True,2024-03-14 13:39:00,0.0,-167.9,97.12874999999998,-53.0,-123.77125000000002
2024-03-21,Thursday,72830.65,FALSE,10:40:00,15:25:00,175.0,73000CE,186.85,204.35,73.0,106.7,336.33,False,,77.81,72600PE,176.8,348.15,127.0,128.55,318.24,True,2024-03-21 12:10:00,-143.65,73000CE,90.65,127.0,73.0,106.7,135.97500000000002,False,,0.0,-143.65,93.864375,-16.05,-65.83562500000001
2024-03-27,Wednesday,72960.92,FALSE,10:40:00,15:25:00,175.0,73200CE,176.75,188.6,104.7,156.25,318.15000000000003,False,,18.29,72900PE,174.85,204.1,112.4,116.75,314.73,False,,55.91,,,,,,,False,,74.19999999999999,0.0,0.0,0.0,74.19999999999999
2024-04-04,Thursday,73899.07,FALSE,10:40:00,15:25:00,175.0,74200CE,181.35,420.0,103.8,320.0,326.43,True,2024-04-04 13:24:00,-147.35,73700PE,194.7,429.45,50.45,54.05,350.46,True,2024-04-04 10:53:00,-158.19,74200CE,109.85,420.0,103.8,320.0,164.77499999999998,True,2024-04-04 11:13:00,0.0,-158.19,69.233125,-54.92,-143.87687499999998
2024-04-10,Wednesday,74915.51,FALSE,10:40:00,15:25:00,175.0,75100CE,183.15,227.6,136.0,168.95,329.67,False,,11.91,74700PE,193.95,208.55,122.15,130.7,349.11,False,,60.83,,,,,,,False,,72.74,0.0,0.0,0.0,72.74
2024-04-18,Thursday,73030.12,FALSE,10:40:00,15:25:00,175.0,73200CE,206.55,404.95,60.25,82.45,371.79,True,2024-04-18 12:18:00,-167.82,72800PE,193.4,477.95,73.0,360.0,348.12,True,2024-04-18 14:43:00,-157.14,72800PE,85.1,477.95,73.0,360.0,127.64999999999999,True,2024-04-18 13:26:00,0.0,-167.82,105.88250000000001,-42.55,-104.48749999999998
2024-04-25,Thursday,74021.85,FALSE,10:40:00,15:25:00,175.0,74300CE,184.0,415.6,79.4,260.65,331.2,True,2024-04-25 14:05:00,-149.5,73800PE,173.65,292.1,73.5,91.1,312.57,False,,80.38,73800PE,125.45,132.5,73.5,91.1,188.175,False,,0.0,-149.5,46.029375,34.35,-69.12062499999999
2024-05-02,Thursday,74759.52,FALSE,10:40:00,15:25:00,175.0,75000CE,208.0,213.0,85.0,95.85,374.40000000000003,False,,109.55,74600PE,221.8,307.05,155.85,190.0,399.24,False,,29.03,,,,,,,False,,138.57999999999998,0.0,0.0,0.0,138.57999999999998
2024-05-09,Thursday,72952.11,FALSE,10:40:00,15:25:00,175.0,73400CE,179.6,208.15,33.0,34.5,323.28,False,,142.85,72500PE,173.95,350.0,76.9,332.3,313.11,True,2024-05-09 15:16:00,-141.33,73400CE,37.0,37.8,33.0,34.5,55.5,False,,0.0,-141.33,140.355,2.5,1.5249999999999773
2024-05-16,Thursday,72984.72,FALSE,10:40:00,15:25:00,175.0,73300CE,208.8,547.1,87.3,530.25,375.84000000000003,True,2024-05-16 12:15:00,-169.65,72700PE,209.7,378.3,31.5,34.1,377.46,True,2024-05-16 13:30:00,-170.38,72700PE,113.1,378.3,31.5,34.1,169.64999999999998,True,2024-05-16 12:27:00,0.0,-169.65,93.97874999999999,-56.55,-132.22125
2024-05-23,Thursday,74535.66,FALSE,10:40:00,15:25:00,175.0,74900CE,180.0,653.1,127.45,623.25,324.0,True,2024-05-23 12:29:00,-146.25,74200PE,177.1,228.75,25.0,25.2,318.78,False,,149.69,74200PE,110.2,118.9,25.0,25.2,165.3,False,,0.0,-146.25,64.68624999999999,85.0,3.436249999999987
