Date,Day,Expiry.Day,Time,ST0,ST0.O,ST0.SL.Trigg,ST0.SL.Time,ST0.PL,Total PNL
2024-01-01,Monday,FALSE,09:42:00,"('21900CE', '21550PE')",100.75,False,,25.292499999999997,25.292499999999997
2024-01-08,Monday,FALSE,09:42:00,"('21800CE', '21500PE')",94.44999999999999,False,,-15.494500000000011,-15.494500000000011
2024-01-15,Monday,FALSE,09:42:00,"('22250CE', '21850PE')",97.15,False,,10.378500000000008,10.378500000000008
2024-01-20,Saturday,FALSE,09:42:00,"('21950CE', '21400PE')",92.75,False,,7.922499999999994,7.922499999999994
2024-01-29,Monday,FALSE,09:42:00,"('22000CE', '21150PE')",103.25,False,,-1.7325000000000028,-1.7325000000000028
2024-02-05,Monday,FALSE,09:42:00,"('22250CE', '21550PE')",85.95,False,,0.3405000000000028,0.3405000000000028
2024-02-12,Monday,FALSE,09:42:00,"('22000CE', '21500PE')",111.1,False,,0.8389999999999886,0.8389999999999886
2024-02-19,Monday,FALSE,09:42:00,"('22300CE', '21750PE')",96.4,False,,8.836000000000011,8.836000000000011
2024-02-26,Monday,FALSE,09:42:00,"('22450CE', '21900PE')",91.05,False,,13.3395,13.3395
2024-03-04,Monday,FALSE,09:42:00,"('22600CE', '22100PE')",101.75,False,,22.68249999999999,22.68249999999999
2024-03-11,Monday,FALSE,09:42:00,"('22650CE', '22250PE')",100.45,False,,3.6455000000000055,3.6455000000000055
2024-03-18,Monday,FALSE,09:42:00,"('22200CE', '21700PE')",109.95,False,,27.50050000000001,27.50050000000001
2024-03-22,Friday,FALSE,09:42:00,"('22200CE', '21800PE')",113.85,False,,-7.738500000000009,-7.738500000000009
2024-04-01,Monday,FALSE,09:42:00,"('22700CE', '22300PE')",101.5,False,,28.934999999999988,28.934999999999988
2024-04-05,Friday,FALSE,09:42:00,"('22700CE', '22200PE')",91.4,False,,17.086,17.086
2024-04-12,Friday,FALSE,09:42:00,"('22850CE', '22500PE')",111.30000000000001,False,,-2.2629999999999777,-2.2629999999999777
2024-04-22,Monday,FALSE,09:42:00,"('22400CE', '22000PE')",114.5,False,,-7.594999999999988,-7.594999999999988
2024-04-26,Friday,FALSE,09:42:00,"('22800CE', '22350PE')",102.25,False,,5.177500000000003,5.177500000000003
2024-05-06,Monday,FALSE,09:42:00,"('22750CE', '22200PE')",100.35,False,,32.2465,32.2465
2024-05-13,Monday,FALSE,09:42:00,"('22150CE', '21550PE')",97.15,False,,-21.721499999999985,-21.721499999999985
2024-05-17,Friday,FALSE,09:42:00,"('22650CE', '22050PE')",94.15,False,,14.208500000000006,14.208500000000006
2024-05-27,Monday,FALSE,09:42:00,"('23300CE', '22750PE')",95.35,False,,14.0465,14.0465
2024-06-03,Monday,FALSE,09:42:00,"('24200CE', '21950PE')",96.35,False,,-58.9635,-58.9635
2024-06-10,Monday,FALSE,09:42:00,"('23800CE', '22800PE')",93.94999999999999,False,,29.91049999999999,29.91049999999999
2024-06-14,Friday,FALSE,09:42:00,"('23550CE', '23150PE')",109.7,False,,9.503000000000009,9.503000000000009
2024-06-24,Monday,FALSE,09:42:00,"('23550CE', '23150PE')",101.80000000000001,False,,-36.617999999999995,-36.617999999999995
2024-07-01,Monday,FALSE,09:42:00,"('24350CE', '23850PE')",98.45,False,,17.565499999999997,17.565499999999997
2024-07-08,Monday,FALSE,09:42:00,"('24400CE', '24150PE')",127.55000000000001,False,,11.02450000000001,11.02450000000001
2024-07-12,Friday,FALSE,09:42:00,"('24600CE', '24300PE')",121.9,False,,-0.9189999999999887,-0.9189999999999887
2024-07-22,Monday,FALSE,09:42:00,"('25100CE', '23900PE')",102.5,False,,8.775000000000011,8.775000000000011
2024-07-29,Monday,FALSE,09:42:00,"('25050CE', '24750PE')",125.3,False,,11.646999999999991,11.646999999999991
2024-08-05,Monday,FALSE,09:42:00,"('24550CE', '23900PE')",115.75,True,11:13:00,-123.6575,-123.6575
2024-08-09,Friday,FALSE,09:42:00,"('24700CE', '24050PE')",103.55,False,,22.9645,22.9645
2024-08-19,Monday,FALSE,09:42:00,"('24750CE', '24450PE')",118.7,False,,17.463000000000005,17.463000000000005
2024-08-26,Monday,FALSE,09:42:00,"('25150CE', '24850PE')",105.35,False,,13.796499999999995,13.796499999999995
2024-09-02,Monday,FALSE,09:42:00,"('25450CE', '25200PE')",121.95,False,,11.380500000000008,11.380500000000008
2024-09-09,Monday,FALSE,09:42:00,"('25050CE', '24650PE')",108.0,False,,18.070000000000007,18.070000000000007
2024-09-16,Monday,FALSE,09:42:00,"('25550CE', '25250PE')",112.25,False,,11.077500000000002,11.077500000000002
2024-09-23,Monday,FALSE,09:42:00,"('26100CE', '25600PE')",110.0,False,,27.449999999999996,27.449999999999996
2024-09-27,Friday,FALSE,09:42:00,"('26450CE', '26050PE')",130.75,False,,28.492499999999996,28.492499999999996
2024-10-07,Monday,FALSE,09:42:00,"('25400CE', '24700PE')",109.65,False,,-22.496500000000005,-22.496500000000005
2024-10-14,Monday,FALSE,09:42:00,"('25200CE', '24900PE')",131.10000000000002,False,,8.689000000000028,8.689000000000028
2024-10-21,Monday,FALSE,09:42:00,"('24950CE', '24500PE')",107.05000000000001,False,,24.229500000000012,24.229500000000012
2024-10-28,Monday,FALSE,09:42:00,"('24400CE', '23900PE')",115.69999999999999,False,,10.192999999999994,10.192999999999994
2024-11-04,Monday,FALSE,09:42:00,"('24500CE', '23550PE')",100.75,False,,14.4925,14.4925
2024-11-11,Monday,FALSE,09:42:00,"('24300CE', '23900PE')",118.55,False,,24.8145,24.8145
2024-11-25,Monday,FALSE,09:42:00,"('24600CE', '24000PE')",115.94999999999999,False,,34.89049999999998,34.89049999999998
2024-12-02,Monday,FALSE,09:42:00,"('24400CE', '23800PE')",97.8,False,,-39.32799999999998,-39.32799999999998
2024-12-09,Monday,FALSE,09:42:00,"('24950CE', '24300PE')",113.80000000000001,False,,25.512000000000004,25.512000000000004
2024-12-16,Monday,FALSE,09:42:00,"('25050CE', '24400PE')",102.85,False,,9.521499999999998,9.521499999999998
2024-12-20,Friday,FALSE,09:42:00,"('24600CE', '23550PE')",99.85,False,,-53.9985,-53.9985
2024-12-30,Monday,FALSE,09:42:00,"('23900CE', '23550PE')",112.55,False,,-11.525500000000006,-11.525500000000006
